ID,YEAR,MAKE,MODEL,STANDARD_TYPE,Hybrid_Non-Hybrid
1000001,2008,CHEVROLET,EXPRESS,VAN,Non-Hybrid
1000002,2008,FORD,CROWN VIC,SEDAN,Non-Hybrid
1000003,2008,FORD,FOCUS,SEDAN,Non-Hybrid
1000004,2008,FORD,FUSION,SEDAN,Non-Hybrid
1000005,2008,FORD,RANGER,PICKUP,Non-Hybrid
1000006,2008,HONDA,CIVIC GX,SEDAN,Non-Hybrid
1000007,2008,TOYOTA,HIGHLANDER HYBRID,SUV,Hybrid
1000008,2008,TOYOTA,PRIUS,SEDAN,Hybrid
1000009,2009,FORD,CROWN VIC,SEDAN,Non-Hybrid
1000010,2009,FORD,ESCAPE,SUV,Non-Hybrid
1000011,2009,FORD,ESCAPE HYBRID,SUV,Hybrid
1000012,2009,NISSAN,ALTIMA HYBRID,SEDAN,Hybrid
1000013,2009,TOYOTA,HIGHLANDER HYBRID,SUV,Hybrid
1000014,2009,TOYOTA,PRIUS,SEDAN,Hybrid
1000015,2010,DODGE,GRAND CARAVAN,VAN,Non-Hybrid
1000016,2010,FORD,ESCAPE HYBRID,SUV,Hybrid
1000017,2010,FORD,FUSION HYBRID,SEDAN,Hybrid
1000018,2010,NISSAN,ALTIMA HYBRID,SEDAN,Hybrid
1000019,2010,TOYOTA,PRIUS,SEDAN,Hybrid
1000020,2011,CHEVROLET,SILVERADO HYBRID,PICKUP,Hybrid
1000021,2011,DODGE,GRAND CARAVAN,VAN,Non-Hybrid
1000022,2011,FORD,E350,VAN,Non-Hybrid
1000023,2011,FORD,ESCAPE,SUV,Non-Hybrid
1000024,2011,FORD,ESCAPE HYBRID,SUV,Hybrid
1000025,2011,FORD,F150,PICKUP,Non-Hybrid
1000026,2011,FORD,F250,PICKUP,Non-Hybrid
1000027,2011,FORD,FUSION HYBRID,SEDAN,Hybrid
1000028,2011,TOYOTA,PRIUS,SEDAN,Hybrid
1000029,2012,CHEVROLET,EXPRESS,VAN,Non-Hybrid
1000030,2012,FORD,E150,VAN,Non-Hybrid
1000031,2012,FORD,E250,VAN,Non-Hybrid
1000032,2012,FORD,E350,VAN,Non-Hybrid
1000033,2012,FORD,ESCAPE,SUV,Non-Hybrid
1000034,2012,FORD,ESCAPE HYBRID,SUV,Hybrid
1000035,2012,FORD,F150,PICKUP,Non-Hybrid
1000036,2012,FORD,FUSION,SEDAN,Non-Hybrid
1000037,2012,FORD,FUSION HYBRID,SEDAN,Hybrid
1000038,2012,TOYOTA,HIGHLANDER HYBRID,SUV,Hybrid
1000039,2012,TOYOTA,PRIUS,SEDAN,Hybrid
1000040,2013,CHEVROLET,EXPRESS,VAN,Non-Hybrid
1000041,2013,CHEVROLET,IMPALA,SEDAN,Non-Hybrid
1000042,2013,CHEVROLET,TAHOE HYBRID,SUV,Hybrid
1000043,2013,FORD,E150,VAN,Non-Hybrid
1000044,2013,FORD,ESCAPE,SUV,Non-Hybrid
1000045,2013,FORD,FUSION HYBRID,SEDAN,Hybrid
1000046,2013,FORD,TRANSIT CONNECT,VAN,Non-Hybrid
1000047,2013,TOYOTA,CAMRY HYBRID,SEDAN,Hybrid
1000048,2013,TOYOTA,HIGHLANDER HYBRID,SUV,Hybrid
1000049,2013,TOYOTA,PRIUS,SEDAN,Hybrid
1000050,2014,CHEVROLET,EXPRESS,VAN,Non-Hybrid
