Manufacturer_ID,Manufacturer
10001,Acura
10002,Audi
10003,Bentley Motors
10004,BMW
10005,Cadillac
10006,Chevrolet
10007,Ferrari
10008,Ford
10009,GMC
10010,Honda
10011,Hyundai
10012,Jaguar
10013,Jeep
10014,Kandi
10015,Karma
10016,Kia
10017,Land Rover
10018,Lexus
10019,Lincoln
10020,"Lucid USA, Inc."
10021,Mazda
10022,Mercedes-Benz
10023,Mini
10024,Mitsubishi
10025,Nissan
10026,Polestar Automotive USA
10027,Porsche
10028,Rivian 
10029,Subaru
10030,Tesla
10031,Toyota
10032,Volkswagen
10033,Volvo
