Model_ID,Model
4001,330e Sedan
4002,330e xDrive
4003,530e Sedan
4004,530e xDrive Sedan
4005,540i Sedan
4006,540i xDrive Sedan
4007,745e xDrive
4008,A3 
4009,A3 quattro
4010,A4 allroad quattro
4011,A4 quattro
4012,A4 S line quattro
4013,A5 Cabriolet quattro
4014,A5 Coupe quattro
4015,A5 Sportback quattro
4016,A5 Sportback S line quattro
4017,A6 Allroad quattro
4018,A6 quattro
4019,A7 quattro
4020,A7 TFSI e quattro
4021,A8L quattro
4022,Accord
4023,Accord Sport/Touring
4024,"Air Dream P AWD w/19"" wheels"
4025,"Air Dream P AWD w/21"" wheels"
4026,"Air Dream R AWD w/19"" wheels"
4027,"Air Dream R AWD w/21"" wheels"
4028,"Air G Touring AWD w/19"" wheels"
4029,"Air G Touring AWD w/21"" wheels"
4030,AMG E53 4MATIC+
4031,AMG E53 4MATIC+ (Convertible)
4032,AMG E53 4MATIC+ (Coupe)
4033,AMG GLE 53 4MATIC+
4034,AMG GLE 53 4MATIC+ (Coupe)
4035,AMG GLE 63 4MATIC+
4036,AMG GLE 63 S 4MATIC+
4037,AMG GLE 63 S 4MATIC+ (coupe)
4038,AMG GT 43 4MATIC+
4039,AMG GT 53 4MATIC+
4040,Avalon Hybrid 
4041,Avalon Hybrid XLE
4042,Aviator AWD PHEV
4043,C 300
4044,C 300 4MATIC
4045,C40 Recharge Twin
4046,Camry Hybrid LE
4047,Camry Hybrid SE/XLE/XSE
4048,Cayenne Turbo S/Coupe e-Hybrid 
4049,Cayenne/Coupe/Platinum e-Hybrid
4050,CLS 450 4MATIC
4051,Cooper SE Countryman ALL4
4052,Cooper SE Hardtop 2 door
4053,Corolla Hybrid
4054,Corsair AWD PHEV
4055,CR-V AWD
4056,Defender 110 MHEV
4057,Defender 90 MHEV
4058,Discovery MHEV
4059,E 450 (Convertible)
4060,E 450 (Coupe)
4061,E 450 4MATIC
4062,E 450 4MATIC (Convertible)
4063,E 450 4MATIC (Coupe)
4064,E 450 4MATIC All-Terrain (wagon)
4065,Elantra Hybrid
4066,Elantra Hybrid Blue
4067,E-PACE MHEV
4068,EQS 580 4MATIC
4069,EQS450+
4070,ES 300h
4071,Escape AWD HEV
4072,Escape FWD HEV
4073,Escape FWD PHEV
4074,e-tron GT
4075,e-tron quattro
4076,"e-tron S (20"" wheels)"
4077,"e-tron S (21"" or 22"" wheels)"
4078,"e-tron S Sportback (20"" wheels)"
4079,"e-tron S Sportback (21"" or 22"" wheels)"
4080,e-tron Sportback quattro
4081,EV6 AWD (Long Range) 
4082,EV6 RWD
4083,EV6 RWD (Long Range) 
4084,Explorer AWD FFV
4085,Explorer HEV AWD
4086,Explorer HEV RWD
4087,Explorer Platinum HEV 
4088,F-PACE P340 MHEV
4089,F-PACE P400 MHEV
4090,GLE 450 4MATIC
4091,GLE 580 4MATIC
4092,GLS 450 4MATIC
4093,GLS 580 4MATIC
4094,GLS 600 4MATIC Maybach
4095,Grand Cherokee 4xe
4096,Highlander Hybrid
4097,Highlander Hybrid AWD
4098,Highlander Hybrid AWD LTD/PLAT
4099,"i4 eDrive40 Gran Coupe (18"" Wheels) "
4100,"i4 eDrive40 Gran Coupe (19"" Wheels) "
4101,"i4 M50 Gran Coupe (19"" Wheels) "
4102,"i4 M50 Gran Coupe (20"" Wheels) "
4103,ID.4 AWD Pro
4104,ID.4 AWD Pro S
4105,ID.4 Pro
4106,ID.4 Pro S
4107,ID.4 Pro S AWD 
4108,Insight
4109,Insight Touring
4110,Ioniq
4111,Ioniq 5 AWD (Long Range)
4112,Ioniq 5 RWD
4113,Ioniq 5 RWD (Long Range)
4114,Ioniq Blue
4115,Ioniq Plug-in Hybrid
4116,"iX xDrive50 (20"" Wheels) "
4117,"iX xDrive50 (21"" Wheels) "
4118,"iX xDrive50 (22"" Wheels) "
4119,Kona Electric
4120,LC 500h
4121,Leaf (40 kWh battery pack)
4122,Leaf (62 kWh battery pack)
4123,Leaf SV/SL (62 kWh battery pack)
4124,LS 500h AWD
4125,M340i Sedan
4126,M340i xDrive Sedan
4127,M440i Convertible
4128,M440i Coupe
4129,M440i xDrive Convertible
4130,M440i xDrive Coupe
4131,M440i xDrive Gran Coupe
4132,Model 3 (Long Range) AWD
4133,Model 3 Performance AWD
4134,Model 3 RWD
4135,Model 3 Standard Range Plus RWD
4136,Model S 
4137,"Model S Plaid (19"" Wheels)"
4138,"Model S Plaid (21"" Wheels)"
4139,Model X AWD
4140,"Model X Plaid (20"" Wheels)"
4141,"Model X Plaid (22"" Wheels)"
4142,Model Y (Long Range) AWD
4143,Model Y AWD
4144,Model Y Performance AWD
4145,Model Y RWD
4146,Mustang Mach-E AWD
4147,Mustang Mach-E AWD California Route 1
4148,Mustang Mach-E AWD Extended
4149,Mustang Mach-E GT AWD
4150,Mustang Mach-E GT Performance
4151,Mustang Mach-E RWD
4152,Mustang Mach-E RWD California Route 1
4153,Mustang Mach-E RWD Extended
4154,New Range Rover P360 LWB MHEV
4155,New Range Rover P360 MHEV
4156,New Range Rover P400 LWB MHEV
4157,New Range Rover P400 MHEV
4158,Niro
4159,Niro Electric
4160,Niro FE
4161,Niro Plug-in Hybrid
4162,Niro Touring
4163,NSX
4164,NX 350h AWD
4165,NX 450+ AWD
4166,Outlander PHEV
4167,Panamera 4 E-Hybrid Executive
4168,Panamera 4S E-Hybrid Executive
4169,Panamera Turbo S E-Hybrid Executive/ST
4170,Polestar 2 (Dual Motor)
4171,Polestar 2 (Single Motor)
4172,Prius
4173,Prius AWD
4174,Prius Eco
4175,Prius Prime
4176,Q4 e-tron quattro
4177,Q4 e-tron Sportback quattro
4178,Q5 quattro
4179,Q5 S line quattro
4180,Q5 Sportback S line quattro
4181,Q5 TFSI e quattro
4182,Q7 quattro
4183,Q8 quattro
4184,R1S
4185,Range Rover Evoque MHEV
4186,Range Rover P360 MHEV
4187,Range Rover P400 MHEV
4188,Range Rover Sport P360 MHEV
4189,Range Rover Sport P400 MHEV
4190,Range Rover Sport PHEV
4191,Range Rover Velar P340 MHEV
4192,Range Rover Velar P400 MHEV
4193,RAV4 Hybrid AWD
4194,RAV4 Prime AWD
4195,RS 6 Avant
4196,RS e-tron GT
4197,RS Q8
4198,RS7
4199,RX 450h AWD
4200,RX 450h L AWD
4201,S 500 4MATIC
4202,S 580 4MATIC
4203,S 580 4MATIC Maybach
4204,S6
4205,S60 T8 AWD Recharge
4206,S60 T8 AWD Recharge ext. Range
4207,S7
4208,S8
4209,S90 T8 AWD Recharge
4210,S90 T8 AWD Recharge ext. Range
4211,Santa Fe Hybrid
4212,Santa Fe Hybrid Blue
4213,Santa Fe Plug-in Hybrid
4214,SF90 Spyder
4215,SF90 Stradale 
4216,Sonata Hybrid
4217,Sonata Hybrid Blue
4218,Sorento Hybrid AWD
4219,Sorento Hybrid FWD
4220,Sorento Plug-in Hybrid
4221,Taycan 4 Cross Turismo
4222,Taycan 4S Cross Turismo
4223,Taycan 4S Perf Battery
4224,Taycan 4S Perf Battery Plus
4225,Taycan Perf Battery
4226,Taycan Perf Battery Plus
4227,Taycan Turbo
4228,Taycan Turbo Cross Turismo
4229,Taycan Turbo S
4230,Taycan Turbo S Cross Turismo
4231,Tucson Hybrid
4232,Tucson Hybrid Blue
4233,Tucson Plug-in Hybrid
4234,UX 250h
4235,UX 250h AWD
4236,V60 T8 AWD Recharge
4237,V60 T8 AWD Recharge ext. Range
4238,Venza AWD
4239,Wagoneer 4x2
4240,Wagoneer 4x4
4241,Wrangler 2dr 4x4
4242,Wrangler 4dr 4x4
4243,Wrangler 4dr 4xe
4244,X3 M40i
4245,X4 M40i
4246,X5 sDrive40i
4247,X5 xDrive40i
4248,X5 xDrive45e
4249,X6 xDrive40i
4250,X7 xDrive40i
4251,XC40 Recharge Twin
4252,XC60 T8 AWD Recharge
4253,XC60 T8 AWD Recharge ext. Range
4254,XC90 T8 AWD Recharge
4255,XC90 T8 AWD Recharge ext. Range
