ID,CAR_ID,EPA_RATING_in_CITY,Vehicle_Count,TOTAL_ACTUAL_MILES,TOTAL_ACTUAL_FUEL,EPA_EXPECTED_FUEL,ACTUAL_FUEL_ECONOMY_Geotab,PERCENT_DIFFERENCE_ACTUAL_TO_EPA,ESTIMATED_FUEL_COSTS_PER_GALLON,FUEL_COSTS_PER_MILE
2000001,1000006,24,9,4459,221,185.79,20.18,-0.16,$552.50 ,$0.12 
2000002,1000002,11,7,17162,1771,1560.18,9.69,-0.12,"$4,427.50 ",$0.26 
2000003,1000001,13,1,413,65,31.77,6.35,-0.51,$162.50 ,$0.39 
2000004,1000003,24,49,13074,793,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2000005,1000004,18,5,29482,1813,1637.89,16.26,-0.1,"$4,532.50 ",$0.15 
2000006,1000007,27,15,36095,1667,1336.85,21.65,-0.2,"$4,167.50 ",$0.12 
2000007,1000008,48,189,1034445,25453,21550.94,40.64,-0.15,"$63,632.50 ",$0.06 
2000008,1000005,15,14,8820,845,588,10.44,-0.3,"$2,112.50 ",$0.24 
2000009,1000012,35,11,73015,2790,2086.14,26.17,-0.25,"$6,975.00 ",$0.10 
2000010,1000009,16,39,3263,290,203.94,11.25,-0.3,$725.00 ,$0.22 
2000011,1000010,19,14,3903,430,205.42,9.08,-0.52,"$1,075.00 ",$0.28 
2000012,1000011,34,32,180992,8729,5323.29,20.73,-0.39,"$21,822.50 ",$0.12 
2000013,1000013,27,11,3247,177,120.26,18.34,-0.32,$442.50 ,$0.14 
2000014,1000014,48,86,341538,8249,7115.38,41.4,-0.14,"$20,622.50 ",$0.06 
2000015,1000018,35,22,57654,2247,1647.26,25.66,-0.27,"$5,617.50 ",$0.10 
2000016,1000016,34,31,133410,4558,3923.82,29.27,-0.14,"$11,395.00 ",$0.09 
2000017,1000017,39,9,41843,1096,1072.9,38.18,-0.02,"$2,740.00 ",$0.07 
2000018,1000015,17,14,17717,926,1042.18,19.13,0.13,"$2,315.00 ",$0.13 
2000019,1000019,51,84,266257,5760,5220.73,46.23,-0.09,"$14,400.00 ",$0.05 
